Change Component Footprint: Designator=Rsense Old Footprint=PRL1632 New Footprint=1206
Change Component Comment : Designator=C12V_1 Old Comment=22uF New Comment=10uF
Change Component Comment : Designator=C12V_2 Old Comment=22uF New Comment=10uF
Change Component Comment : Designator=C12V_3 Old Comment=22uF New Comment=10uF
Change Component Comment : Designator=C12V_4 Old Comment=22uF New Comment=10uF
Change Component Comment : Designator=C12V_5 Old Comment=22uF New Comment=10uF
Change Component Comment : Designator=C12V_6 Old Comment=22uF New Comment=10uF
Change Component Comment : Designator=C12V_7 Old Comment=22uF New Comment=10uF
Change Component Comment : Designator=C12V_8 Old Comment=22uF New Comment=10uF
Change Component Comment : Designator=C12V_9 Old Comment=22uF New Comment=10uF
Change Component Comment : Designator=C12V_10 Old Comment=22uF New Comment=10uF
Change Component Comment : Designator=C12V_11 Old Comment=22uF New Comment=10uF
Change Component Comment : Designator=C12V_12 Old Comment=22uF New Comment=10uF
Change Component Comment : Designator=C12V_13 Old Comment=22uF New Comment=10uF
Change Component Designator: OldDesignator=C43_1 NewDesignator=C43_2
Change Component Designator: OldDesignator=C44_1 NewDesignator=C44_2
Change Component Designator: OldDesignator=C45_1 NewDesignator=C45_2
Change Component Designator: OldDesignator=L7_1 NewDesignator=L7_2
Change Component Designator: OldDesignator=R47_1 NewDesignator=R47_2
Added Pin To Net: NetName=+12V Pin=C7_Vcc_5-1
Added Pin To Net: NetName=ADCINA3 Pin=C7_Vcc_5-2
Added Pin To Net: NetName=ADCINA3 Pin=C12V_1-1
Added Pin To Net: NetName=+12V Pin=C12V_1-2
Added Pin To Net: NetName=ADCINA3 Pin=C12V_2-1
Added Pin To Net: NetName=+12V Pin=C12V_2-2
Added Pin To Net: NetName=ADCINA3 Pin=C12V_3-1
Added Pin To Net: NetName=+12V Pin=C12V_3-2
Added Pin To Net: NetName=ADCINA3 Pin=C12V_4-1
Added Pin To Net: NetName=+12V Pin=C12V_4-2
Added Pin To Net: NetName=ADCINA3 Pin=C12V_5-1
Added Pin To Net: NetName=+12V Pin=C12V_5-2
Added Pin To Net: NetName=ADCINA3 Pin=C12V_6-1
Added Pin To Net: NetName=+12V Pin=C12V_6-2
Added Pin To Net: NetName=ADCINA3 Pin=C12V_7-1
Added Pin To Net: NetName=+12V Pin=C12V_7-2
Added Pin To Net: NetName=ADCINA3 Pin=C12V_8-1
Added Pin To Net: NetName=+12V Pin=C12V_8-2
Added Pin To Net: NetName=ADCINA3 Pin=C12V_9-1
Added Pin To Net: NetName=+12V Pin=C12V_9-2
Added Pin To Net: NetName=ADCINA3 Pin=C12V_10-1
Added Pin To Net: NetName=+12V Pin=C12V_10-2
Added Pin To Net: NetName=ADCINA3 Pin=C12V_11-1
Added Pin To Net: NetName=+12V Pin=C12V_11-2
Added Pin To Net: NetName=ADCINA3 Pin=C12V_12-1
Added Pin To Net: NetName=+12V Pin=C12V_12-2
Added Pin To Net: NetName=ADCINA3 Pin=C12V_13-1
Added Pin To Net: NetName=+12V Pin=C12V_13-2
Added Pin To Net: NetName=+3V3 Pin=C43_2-1
Added Pin To Net: NetName=ADCINA3 Pin=C43_2-2
Added Pin To Net: NetName=ADCINA3 Pin=C44_2-1
Added Pin To Net: NetName=+5V Pin=C44_2-2
Added Pin To Net: NetName=ADCINA3 Pin=C45_2-1
Added Pin To Net: NetName=+3V3 Pin=C45_2-2
Added Pin To Net: NetName=NetCboot_1 Pin=Cboot-1
Added Pin To Net: NetName=NetCboot_2 Pin=Cboot-2
Added Pin To Net: NetName=NetCbst_5_1 Pin=Cbst_5-1
Added Pin To Net: NetName=NetCbst_5_2 Pin=Cbst_5-2
Added Pin To Net: NetName=NetCbyp_5_1 Pin=Cbyp_5-1
Added Pin To Net: NetName=0 Pin=Cbyp_5-2
Added Pin To Net: NetName=NetCcomp2_1 Pin=Ccomp2-1
Added Pin To Net: NetName=NetCcomp2_2 Pin=Ccomp2-2
Added Pin To Net: NetName=TPS_FB Pin=Ccomp2_5-1
Added Pin To Net: NetName=NetCcomp2_5_2 Pin=Ccomp2_5-2
Added Pin To Net: NetName=NetCcomp3_5_1 Pin=Ccomp3_5-1
Added Pin To Net: NetName=TPS_FB Pin=Ccomp3_5-2
